posting_id,date,country,city,industry,role_category,job_title,experience_level,work_mode,contract_type,language_requirement,salary_from,salary_to,skills_required,days_open
JP000001,2022-01-01,Germany,Frankfurt,Finance & Banking,BI Developer,Reporting Developer,Senior (5+yr),Hybrid,Fixed-term,German Required,89590,98837,SAP BI|Looker|Excel|Tableau,88
JP000002,2022-01-01,Germany,Berlin,Finance & Banking,Data Manager,BI Manager,Mid (2-5yr),Hybrid,Permanent,German Required,55231,64551,Agile|Stakeholder Management|Power BI|SQL|Strategy,34
JP000003,2022-01-01,Austria,Innsbruck,Consulting,BI Developer,Tableau Developer,Junior (0-2yr),Hybrid,Permanent,German Required,33803,48207,Excel|Looker|Tableau|SAP BI|DAX,11
JP000004,2022-01-01,Germany,Munich,Media,BI Developer,BI Developer,Junior (0-2yr),Remote,Permanent,English OK,39757,45623,Excel|SQL|DAX|SAP BI|Tableau|Looker,82
JP000005,2022-01-01,Germany,Leipzig,Manufacturing,Data Scientist,Research Analyst,Mid (2-5yr),Remote,Freelance,English OK,60398,67665,SQL|Python|TensorFlow,47
JP000006,2022-01-01,Germany,Munich,Automotive,Data Manager,Analytics Manager,Mid (2-5yr),On-site,Fixed-term,German Required,60193,72604,Strategy|Agile|Excel|Leadership|Power BI,68
JP000007,2022-01-01,Austria,Linz,Consulting,Data Engineer,Data Engineer,Junior (0-2yr),Hybrid,Freelance,German Required,39013,46123,Databricks|Azure|Airflow|Kafka|Docker,49
JP000008,2022-01-01,Switzerland,Zurich,Energy,Data Engineer,Pipeline Engineer,Junior (0-2yr),Remote,Freelance,German Required,33171,35284,SQL|dbt|Docker|Airflow|Kafka,8
JP000009,2022-01-01,Germany,Hamburg,Healthcare,Data Scientist,Data Scientist,Junior (0-2yr),On-site,Permanent,German Required,35438,48404,Azure ML|Python|Statistics|TensorFlow,78
JP000010,2022-01-01,Germany,Leipzig,Media,BI Developer,BI Developer,Senior (5+yr),Hybrid,Permanent,German Required,95273,106052,Power BI|Tableau|SQL,48
JP000011,2022-01-01,Germany,Leipzig,Automotive,Data Scientist,AI Analyst,Junior (0-2yr),Hybrid,Permanent,German Required,36233,37875,SQL|Statistics|R,29
JP000012,2022-01-01,Austria,Innsbruck,Consulting,Data Scientist,Research Analyst,Mid (2-5yr),Hybrid,Permanent,German Required,52443,63491,Python|Azure ML|Statistics|Scikit-Learn,30
JP000013,2022-01-02,Austria,Vienna,Consulting,Data Scientist,Research Analyst,Senior (5+yr),On-site,Permanent,German Required,80225,106032,TensorFlow|Scikit-Learn|Machine Learning|R|Python|Azure ML,10
JP000014,2022-01-02,Germany,Düsseldorf,Energy,BI Developer,Power BI Developer,Mid (2-5yr),On-site,Freelance,English OK,58453,63712,Tableau|SAP BI|DAX,56
JP000015,2022-01-02,Germany,Frankfurt,Consulting,Data Scientist,AI Analyst,Mid (2-5yr),Remote,Permanent,German Required,57273,70361,TensorFlow|Scikit-Learn|SQL|R|Statistics|Azure ML,19
JP000016,2022-01-02,Germany,Berlin,Automotive,Data Analyst,Junior Data Analyst,Junior (0-2yr),Hybrid,Freelance,German Required,33588,38024,SAP|Python|Excel|Jira|Confluence|SQL,73
JP000017,2022-01-02,Germany,Düsseldorf,Manufacturing,Data Analyst,BI Analyst,Senior (5+yr),Hybrid,Freelance,English OK,81913,115117,Jira|SQL|Tableau|Confluence|Python|Excel,46
JP000018,2022-01-02,Germany,Leipzig,E-Commerce,Data Engineer,Pipeline Engineer,Mid (2-5yr),Hybrid,Permanent,German Required,57921,67858,Databricks|Azure|Airflow,8
JP000019,2022-01-02,Germany,Frankfurt,Media,BI Developer,BI Consultant,Mid (2-5yr),Hybrid,Freelance,German Required,57069,67444,SAP BI|Looker|Power BI|DAX|SSRS,38
JP000020,2022-01-02,Germany,Cologne,Technology,BI Developer,BI Developer,Mid (2-5yr),Remote,Freelance,German Required,53374,54394,SQL|SSRS|Excel,43
JP000021,2022-01-02,Germany,Munich,Finance & Banking,Data Scientist,Quantitative Analyst,Senior (5+yr),Hybrid,Fixed-term,German Required,92424,110450,TensorFlow|Machine Learning|R|Python|Azure ML,67
JP000022,2022-01-02,Germany,Düsseldorf,Consulting,Data Manager,Analytics Manager,Senior (5+yr),Hybrid,Permanent,German Required,80800,111396,Strategy|Power BI|Leadership|Stakeholder Management,54
JP000023,2022-01-02,Germany,Nuremberg,Logistics,Data Analyst,Business Analyst,Junior (0-2yr),Hybrid,Fixed-term,German Required,37239,40238,Jira|Tableau|SAP,26
JP000024,2022-01-02,Germany,Cologne,Energy,Data Manager,Data Manager,Mid (2-5yr),Hybrid,Permanent,German Required,50191,70267,Stakeholder Management|Excel|Strategy|SQL,87
JP000025,2022-01-03,Austria,Innsbruck,Manufacturing,BI Developer,Reporting Developer,Senior (5+yr),Hybrid,Freelance,English OK,93346,95592,SQL|Looker|DAX|Power BI|Excel,10
JP000026,2022-01-03,Germany,Munich,Logistics,Data Scientist,Quantitative Analyst,Junior (0-2yr),On-site,Permanent,German Required,40955,46939,Statistics|SQL|Python,9
JP000027,2022-01-03,Germany,Leipzig,Media,BI Developer,Tableau Developer,Mid (2-5yr),Hybrid,Permanent,German Required,53337,57015,SQL|DAX|Excel|SSRS,48
JP000028,2022-01-03,Germany,Frankfurt,Technology,Data Manager,BI Manager,Mid (2-5yr),On-site,Permanent,German Required,55535,72601,SQL|Stakeholder Management|Agile|Leadership|Power BI|Strategy,71
JP000029,2022-01-03,Germany,Cologne,Energy,Data Engineer,ETL Developer,Junior (0-2yr),On-site,Permanent,English OK,40933,41945,Kafka|Airflow|SQL,78
JP000030,2022-01-03,Germany,Stuttgart,Technology,BI Developer,Tableau Developer,Mid (2-5yr),Hybrid,Freelance,German Required,56226,61773,Tableau|Excel|Power BI|SSRS|SQL,19
JP000031,2022-01-03,Germany,Dresden,Automotive,Data Engineer,Big Data Engineer,Mid (2-5yr),Hybrid,Permanent,German Required,56560,73831,Docker|Airflow|Azure|Spark|Python|SQL,62
JP000032,2022-01-03,Switzerland,Geneva,Manufacturing,Data Manager,Analytics Manager,Mid (2-5yr),Hybrid,Freelance,German Required,55950,68103,Leadership|Agile|Excel|SQL|Power BI|Stakeholder Management,33
JP000033,2022-01-03,Germany,Dresden,Media,Data Engineer,ETL Developer,Senior (5+yr),Hybrid,Permanent,German Required,96027,112946,Spark|Azure|Airflow,78
JP000034,2022-01-03,Austria,Graz,Logistics,Data Analyst,Reporting Analyst,Senior (5+yr),Hybrid,Permanent,German Required,87250,87452,Jira|Tableau|Excel|Confluence|Python,7
JP000035,2022-01-03,Germany,Frankfurt,Media,Data Engineer,Pipeline Engineer,Senior (5+yr),Hybrid,Permanent,English OK,83358,92470,Python|dbt|Airflow|Spark|Azure,41
JP000036,2022-01-03,Germany,Hamburg,Finance & Banking,Data Analyst,Reporting Analyst,Senior (5+yr),On-site,Permanent,German Required,86476,90635,Tableau|SAP|Excel,68
JP000037,2022-01-03,Germany,Hamburg,Manufacturing,Data Analyst,Data Analyst,Mid (2-5yr),Remote,Freelance,German Required,55400,56932,SAP|Excel|Confluence,65
JP000038,2022-01-03,Germany,Nuremberg,Automotive,Data Engineer,Big Data Engineer,Senior (5+yr),Hybrid,Freelance,English OK,90243,104737,Azure|SQL|dbt|Databricks|Spark|Docker,79
JP000039,2022-01-03,Switzerland,Zurich,Manufacturing,Data Scientist,ML Engineer,Senior (5+yr),Hybrid,Freelance,German Required,87567,94011,Statistics|Machine Learning|Azure ML|TensorFlow,78
JP000040,2022-01-03,Germany,Düsseldorf,Automotive,BI Developer,BI Consultant,Junior (0-2yr),Remote,Freelance,English OK,33620,37929,DAX|SAP BI|SQL,26
JP000041,2022-01-03,Germany,Stuttgart,Automotive,Data Engineer,Data Engineer,Mid (2-5yr),On-site,Fixed-term,German Required,61382,67932,Kafka|SQL|Docker,50
JP000042,2022-01-03,Germany,Munich,Manufacturing,BI Developer,Reporting Developer,Junior (0-2yr),Remote,Freelance,English OK,32904,42298,SAP BI|Excel|Looker,23
JP000043,2022-01-03,Germany,Hamburg,Manufacturing,Data Scientist,ML Engineer,Junior (0-2yr),On-site,Fixed-term,German Required,37501,48477,Machine Learning|Statistics|Azure ML|Scikit-Learn|SQL|Python,84
JP000044,2022-01-03,Germany,Leipzig,Automotive,BI Developer,Power BI Developer,Junior (0-2yr),On-site,Fixed-term,German Required,36549,40788,SSRS|SAP BI|SQL|Looker,53
JP000045,2022-01-03,Germany,Frankfurt,Healthcare,Data Engineer,Data Platform Engineer,Junior (0-2yr),Hybrid,Permanent,German Required,33973,48470,SQL|Databricks|Python|dbt|Docker|Spark,78
JP000046,2022-01-03,Germany,Frankfurt,Manufacturing,Data Analyst,Business Analyst,Mid (2-5yr),On-site,Freelance,German Required,61700,62824,Excel|Tableau|Python|Jira|SAP,15
JP000047,2022-01-03,Germany,Berlin,Automotive,Data Scientist,AI Analyst,Senior (5+yr),Hybrid,Fixed-term,German Required,87507,90551,R|Statistics|SQL,12
JP000048,2022-01-03,Germany,Düsseldorf,Media,Data Scientist,AI Analyst,Mid (2-5yr),Hybrid,Permanent,German Required,50943,56191,SQL|Machine Learning|Statistics,14
JP000049,2022-01-03,Switzerland,Geneva,Technology,Data Analyst,Data Analyst,Mid (2-5yr),Remote,Permanent,English OK,59934,74847,Power BI|Python|Excel,31
JP000050,2022-01-03,Germany,Leipzig,Consulting,BI Developer,BI Developer,Junior (0-2yr),Hybrid,Permanent,English OK,37130,38650,SQL|SAP BI|Tableau|DAX|Excel|SSRS,41
JP000051,2022-01-03,Germany,Hamburg,Healthcare,BI Developer,Power BI Developer,Junior (0-2yr),Hybrid,Freelance,German Required,38196,45072,SAP BI|SSRS|Looker,10
JP000052,2022-01-03,Germany,Stuttgart,Manufacturing,Data Manager,Chief Data Officer,Junior (0-2yr),On-site,Freelance,English OK,36258,47586,Power BI|Agile|Leadership,76
JP000053,2022-01-03,Germany,Leipzig,Logistics,Data Analyst,Data Analyst,Mid (2-5yr),Hybrid,Freelance,English OK,61143,74390,Jira|SAP|Confluence|Power BI,48
JP000054,2022-01-03,Germany,Dresden,Media,Data Manager,Head of Data,Senior (5+yr),Hybrid,Permanent,German Required,91124,94031,Leadership|Power BI|Strategy|Agile|Excel|Stakeholder Management,35
JP000055,2022-01-03,Austria,Innsbruck,Healthcare,Data Scientist,Quantitative Analyst,Senior (5+yr),Hybrid,Fixed-term,English OK,89734,90647,TensorFlow|Azure ML|Scikit-Learn,54
JP000056,2022-01-03,Germany,Leipzig,Finance & Banking,Data Engineer,ETL Developer,Junior (0-2yr),On-site,Fixed-term,English OK,37154,48736,dbt|Databricks|Kafka|Spark|Airflow,45
JP000057,2022-01-03,Austria,Vienna,E-Commerce,BI Developer,BI Consultant,Junior (0-2yr),Hybrid,Permanent,German Required,40772,46413,SAP BI|SSRS|Excel,23
JP000058,2022-01-03,Germany,Dresden,Automotive,BI Developer,BI Developer,Mid (2-5yr),Hybrid,Permanent,German Required,58008,69117,Looker|SSRS|Excel|DAX|SAP BI|SQL,76
JP000059,2022-01-03,Austria,Graz,Finance & Banking,Data Manager,Analytics Manager,Junior (0-2yr),Hybrid,Permanent,German Required,37654,44132,Agile|Power BI|Excel|Leadership|SQL|Strategy,50
JP000060,2022-01-03,Germany,Munich,Healthcare,Data Engineer,Big Data Engineer,Junior (0-2yr),Hybrid,Freelance,German Required,39704,45582,Kafka|Docker|Azure|Airflow|Databricks|dbt,80
JP000061,2022-01-03,Germany,Cologne,Energy,Data Analyst,BI Analyst,Senior (5+yr),Hybrid,Fixed-term,German Required,93894,94833,SAP|Tableau|SQL|Power BI|Python|Jira,71
JP000062,2022-01-03,Germany,Munich,Energy,Data Engineer,Data Engineer,Mid (2-5yr),Hybrid,Permanent,German Required,53888,70639,Azure|Docker|Databricks,73
JP000063,2022-01-03,Germany,Stuttgart,E-Commerce,Data Engineer,Big Data Engineer,Junior (0-2yr),Hybrid,Freelance,English OK,39051,43481,Kafka|Databricks|dbt|SQL|Python,71
JP000064,2022-01-03,Germany,Munich,Consulting,BI Developer,Power BI Developer,Senior (5+yr),Hybrid,Freelance,English OK,92926,100289,SAP BI|SQL|Looker|DAX,50
JP000065,2022-01-03,Germany,Munich,E-Commerce,Data Manager,Data Manager,Mid (2-5yr),On-site,Permanent,German Required,59402,62005,SQL|Leadership|Power BI|Excel,83
JP000066,2022-01-03,Germany,Dresden,E-Commerce,BI Developer,BI Developer,Junior (0-2yr),Hybrid,Permanent,German Required,34652,41867,SQL|Looker|Excel|Power BI,15
JP000067,2022-01-03,Germany,Leipzig,Healthcare,Data Engineer,Big Data Engineer,Junior (0-2yr),On-site,Freelance,German Required,33461,37012,Kafka|dbt|Airflow,55
JP000068,2022-01-03,Germany,Cologne,Finance & Banking,BI Developer,BI Developer,Senior (5+yr),On-site,Permanent,German Required,91990,115890,Tableau|SAP BI|SSRS|Looker,22
JP000069,2022-01-03,Switzerland,Lausanne,Logistics,Data Engineer,Data Platform Engineer,Junior (0-2yr),On-site,Permanent,English OK,34416,48186,Airflow|Databricks|Azure|Docker|Python|dbt,90
